UID;Molecular Formula
1024;C$_{34}$H$_{20}$
1025;C$_{34}$H$_{20}$
1026;C$_{34}$H$_{20}$
1027;C$_{34}$H$_{20}$
1028;C$_{34}$H$_{20}$
1029;C$_{34}$H$_{20}$
1030;C$_{34}$H$_{20}$
1031;C$_{34}$H$_{20}$
1032;C$_{34}$H$_{20}$
1033;C$_{34}$H$_{20}$
1034;C$_{34}$H$_{20}$
1035;C$_{34}$H$_{20}$
1036;C$_{34}$H$_{20}$
1037;C$_{34}$H$_{20}$
1038;C$_{34}$H$_{20}$
1039;C$_{34}$H$_{20}$
1040;C$_{34}$H$_{20}$
1041;C$_{34}$H$_{20}$
1042;C$_{34}$H$_{20}$
1043;C$_{34}$H$_{20}$
1044;C$_{34}$H$_{20}$
1045;C$_{34}$H$_{20}$
1046;C$_{34}$H$_{20}$
1047;C$_{34}$H$_{20}$
1048;C$_{34}$H$_{20}$
1049;C$_{34}$H$_{20}$
1050;C$_{34}$H$_{20}$
1051;C$_{34}$H$_{20}$
1052;C$_{34}$H$_{20}$
1053;C$_{34}$H$_{20}$
1054;C$_{34}$H$_{20}$
1055;C$_{34}$H$_{20}$
1056;C$_{34}$H$_{20}$
1057;C$_{34}$H$_{20}$
1058;C$_{34}$H$_{20}$
1059;C$_{34}$H$_{20}$
1060;C$_{34}$H$_{20}$
1061;C$_{34}$H$_{20}$
1062;C$_{34}$H$_{20}$
1063;C$_{34}$H$_{20}$
1064;C$_{34}$H$_{20}$
1065;C$_{34}$H$_{20}$
1066;C$_{34}$H$_{20}$
1067;C$_{34}$H$_{20}$
1068;C$_{34}$H$_{20}$
1069;C$_{34}$H$_{20}$
1070;C$_{34}$H$_{20}$
1071;C$_{34}$H$_{20}$
1072;C$_{34}$H$_{20}$
1073;C$_{34}$H$_{20}$
1074;C$_{34}$H$_{20}$
1075;C$_{34}$H$_{20}$
1076;C$_{34}$H$_{20}$
1077;C$_{34}$H$_{20}$
1078;C$_{34}$H$_{20}$
1079;C$_{34}$H$_{20}$
1080;C$_{34}$H$_{20}$
1081;C$_{34}$H$_{20}$
1082;C$_{34}$H$_{20}$
1083;C$_{34}$H$_{20}$
1084;C$_{34}$H$_{20}$
1085;C$_{34}$H$_{20}$
1086;C$_{34}$H$_{20}$
1087;C$_{34}$H$_{20}$
1088;C$_{34}$H$_{20}$
1089;C$_{34}$H$_{20}$
1090;C$_{34}$H$_{20}$
1091;C$_{34}$H$_{20}$
1092;C$_{34}$H$_{20}$
1093;C$_{34}$H$_{20}$
1094;C$_{34}$H$_{20}$
1095;C$_{34}$H$_{20}$
1096;C$_{34}$H$_{20}$
1097;C$_{34}$H$_{20}$
1098;C$_{34}$H$_{20}$
1099;C$_{34}$H$_{20}$
1100;C$_{34}$H$_{20}$
1101;C$_{34}$H$_{20}$
1102;C$_{34}$H$_{20}$
1103;C$_{34}$H$_{20}$
1104;C$_{34}$H$_{20}$
1105;C$_{34}$H$_{20}$
1106;C$_{34}$H$_{20}$
1107;C$_{34}$H$_{20}$
1108;C$_{34}$H$_{20}$
1109;C$_{34}$H$_{20}$
1110;C$_{34}$H$_{20}$
1111;C$_{34}$H$_{20}$
1112;C$_{34}$H$_{20}$
1113;C$_{34}$H$_{20}$
1114;C$_{34}$H$_{20}$
1115;C$_{34}$H$_{20}$
1116;C$_{34}$H$_{20}$
1117;C$_{34}$H$_{20}$
1118;C$_{34}$H$_{20}$
1119;C$_{34}$H$_{20}$
1120;C$_{34}$H$_{20}$
1121;C$_{34}$H$_{20}$
1122;C$_{34}$H$_{20}$
1123;C$_{34}$H$_{20}$
1124;C$_{34}$H$_{20}$
1125;C$_{34}$H$_{20}$
1126;C$_{34}$H$_{20}$
1127;C$_{34}$H$_{20}$
